"Period","Banks Consumer Credit","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Banks Consumer Credit to GDP","Mean_of_Ratio"
"Q1 1971",5576,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,96388,NA,0.166956606549856
"Q2 1971",5940,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,100420,NA,0.166956606549856
"Q3 1971",6182,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,103736,NA,0.166956606549856
"Q4 1971",6816,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,106528,NA,0.166956606549856
"Q1 1972",6813,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,108256,NA,0.166956606549856
"Q2 1972",7291,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,112364,NA,0.166956606549856
"Q3 1972",7623,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,114492,NA,0.166956606549856
"Q4 1972",8311,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,119384,NA,0.166956606549856
"Q1 1973",8534,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,124860,NA,0.166956606549856
"Q2 1973",9317,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,130152,NA,0.166956606549856
"Q3 1973",9566,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,134652,NA,0.166956606549856
"Q4 1973",10125,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,142656,NA,0.166956606549856
"Q1 1974",10288,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,149424,NA,0.166956606549856
"Q2 1974",10955,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,156088,NA,0.166956606549856
"Q3 1974",11236,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,162384,NA,0.166956606549856
"Q4 1974",12099,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,165328,NA,0.166956606549856
"Q1 1975",12276,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,167572,NA,0.166956606549856
"Q2 1975",12929,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,173748,NA,0.166956606549856
"Q3 1975",13501,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,182328,NA,0.166956606549856
"Q4 1975",14548,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,188532,NA,0.166956606549856
"Q1 1976",14698,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,196288,NA,0.166956606549856
"Q2 1976",15640,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,206268,NA,0.166956606549856
"Q3 1976",16397,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,208464,NA,0.166956606549856
"Q4 1976",17456,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,213008,NA,0.166956606549856
"Q1 1977",17841,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,219892,NA,0.166956606549856
"Q2 1977",18566,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,224772,NA,0.166956606549856
"Q3 1977",19070,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,229704,NA,0.166956606549856
"Q4 1977",20066,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,235948,NA,0.166956606549856
"Q1 1978",20380,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,241296,NA,0.166956606549856
"Q2 1978",21338,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,248648,NA,0.166956606549856
"Q3 1978",22101,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,255176,NA,0.166956606549856
"Q4 1978",23201,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,263056,NA,0.166956606549856
"Q1 1979",23367,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,271352,NA,0.166956606549856
"Q2 1979",24812,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,284116,NA,0.166956606549856
"Q3 1979",25888,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,292900,NA,0.166956606549856
"Q4 1979",26855,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,301924,NA,0.166956606549856
"Q1 1980",27068,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,309756,NA,0.166956606549856
"Q2 1980",27709,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,317208,NA,0.166956606549856
"Q3 1980",28475,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,324720,NA,0.166956606549856
"Q4 1980",30467,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,339304,NA,0.166956606549856
"Q1 1981",30929,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,355992,NA,0.166956606549856
"Q2 1981",32097,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,367992,NA,0.166956606549856
"Q3 1981",32888,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,372820,NA,0.166956606549856
"Q4 1981",32564,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,376628,NA,0.166956606549856
"Q1 1982",31887,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,383004,NA,0.166956606549856
"Q2 1982",31799,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,386516,NA,0.166956606549856
"Q3 1982",31290,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,389560,NA,0.166956606549856
"Q4 1982",31842,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,393644,NA,0.166956606549856
"Q1 1983",30895,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,403236,NA,0.166956606549856
"Q2 1983",31271,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,415804,NA,0.166956606549856
"Q3 1983",31472,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,428960,NA,0.166956606549856
"Q4 1983",32740,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,437264,NA,0.166956606549856
"Q1 1984",32698,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,447840,NA,0.166956606549856
"Q2 1984",33374,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,459552,NA,0.166956606549856
"Q3 1984",33661,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,465180,NA,0.166956606549856
"Q4 1984",35749,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,475372,NA,0.166956606549856
"Q1 1985",35685,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,486096,NA,0.166956606549856
"Q2 1985",36636,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,495352,NA,0.166956606549856
"Q3 1985",37484,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,503872,NA,0.166956606549856
"Q4 1985",40127,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,514788,NA,0.166956606549856
"Q1 1986",39939,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,518612,NA,0.166956606549856
"Q2 1986",40404,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,523844,NA,0.166956606549856
"Q3 1986",41688,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,530220,NA,0.166956606549856
"Q4 1986",42446,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,533844,NA,0.166956606549856
"Q1 1987",43237,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,552484,NA,0.166956606549856
"Q2 1987",45299,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,567420,NA,0.166956606549856
"Q3 1987",46965,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,581680,NA,0.166956606549856
"Q4 1987",49134,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,595760,NA,0.166956606549856
"Q1 1988",50104,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,610948,NA,0.166956606549856
"Q2 1988",52892,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,621168,NA,0.166956606549856
"Q3 1988",55040,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,631392,NA,0.166956606549856
"Q4 1988",56360,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,644068,NA,0.166956606549856
"Q1 1989",57378,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,656160,NA,0.166956606549856
"Q2 1989",59137,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,669792,NA,0.166956606549856
"Q3 1989",61061,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,679132,NA,0.166956606549856
"Q4 1989",62359,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,681232,NA,0.166956606549856
"Q1 1990",62893,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,691928,NA,0.166956606549856
"Q2 1990",63591,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,695624,NA,0.166956606549856
"Q3 1990",65123,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,697684,NA,0.166956606549856
"Q4 1990",65754,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,696768,NA,0.166956606549856
"Q1 1991",65357,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,694008,NA,0.166956606549856
"Q2 1991",66294,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,701572,NA,0.166956606549856
"Q3 1991",65845,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,704796,NA,0.166956606549856
"Q4 1991",65698,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,706716,NA,0.166956606549856
"Q1 1992",65301,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,710008,NA,0.166956606549856
"Q2 1992",65306,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,714744,NA,0.166956606549856
"Q3 1992",65646,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,721660,NA,0.166956606549856
"Q4 1992",65118,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,727332,NA,0.166956606549856
"Q1 1993",66332,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,733952,NA,0.166956606549856
"Q2 1993",66883,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,745360,NA,0.166956606549856
"Q3 1993",69384,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,750068,NA,0.166956606549856
"Q4 1993",71374,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,758768,NA,0.166956606549856
"Q1 1994",73294,10.4956883555448,8.32621823793586,67206.25,6087.75,24221.9126602564,59146.78125,14147.21875,64433.9957932692,772656,0.0948598082458429,0.166956606549856
"Q2 1994",73958,10.5781738259348,8.32621823793586,67844.9166666667,6113.08333333333,24221.9126602564,60195.34375,13762.65625,64433.9957932692,783660,0.0943751116555649,0.166956606549856
"Q3 1994",75630,9.00207540643376,8.32621823793586,68660.3333333333,6969.66666666667,24221.9126602564,61256.03125,14373.96875,64433.9957932692,800784,0.0944449439549242,0.166956606549856
"Q4 1994",78344,9.76546081206041,8.32621823793586,69714.1666666667,8629.83333333333,24221.9126602564,62377.84375,15966.15625,64433.9957932692,810788,0.0966269851058476,0.166956606549856
"Q1 1995",79148,7.98701121510628,8.32621823793586,70868.0833333333,8279.91666666667,24221.9126602564,63500.0625,15647.9375,64433.9957932692,823972,0.0960566621195866,0.166956606549856
"Q2 1995",79888,8.01806430676871,8.32621823793586,72083.25,7804.75,24221.9126602564,64580.96875,15307.03125,64433.9957932692,828856,0.096383448994759,0.166956606549856
"Q3 1995",81844,8.21631627660981,8.32621823793586,73433.0833333333,8410.91666666667,24221.9126602564,65670.9375,16173.0625,64433.9957932692,832976,0.0982549317147193,0.166956606549856
"Q4 1995",84131,7.38665373225774,8.32621823793586,75017.5,9113.5,24221.9126602564,66764.59375,17366.40625,64433.9957932692,840680,0.100074939334824,0.166956606549856
"Q1 1996",86360,9.11204326072674,8.32621823793586,76686.5,9673.5,24221.9126602564,67897.59375,18462.40625,64433.9957932692,844208,0.102297064230616,0.166956606549856
"Q2 1996",86758,8.59953935509714,8.32621823793586,78342.75,8415.25,24221.9126602564,68955.90625,17802.09375,64433.9957932692,852904,0.101720709481958,0.166956606549856
"Q3 1996",88158,7.71467670201847,8.32621823793586,79907.25,8250.75,24221.9126602564,69990.84375,18167.15625,64433.9957932692,864544,0.101970518562387,0.166956606549856
"Q4 1996",90097,7.09132186708823,8.32621823793586,81467.5,8629.5,24221.9126602564,71045.125,19051.875,64433.9957932692,877680,0.102653586728648,0.166956606549856
"Q1 1997",93789,8.60236220472441,8.32621823793586,83175.4166666667,10613.5833333333,24221.9126602564,72182.96875,21606.03125,64433.9957932692,891748,0.105174331761888,0.166956606549856
"Q2 1997",94939,9.42967795477074,8.32621823793586,84923.8333333333,10015.1666666667,24221.9126602564,73301.78125,21637.21875,64433.9957932692,899412,0.105556741515568,0.166956606549856
"Q3 1997",96669,9.65425712924522,8.32621823793586,86677.0833333333,9991.91666666667,24221.9126602564,74414.53125,22254.46875,64433.9957932692,912564,0.105931200441832,0.166956606549856
"Q4 1997",97085,7.7560851082722,8.32621823793586,88238.8333333333,8846.16666666667,24221.9126602564,75499.71875,21585.28125,64433.9957932692,923980,0.105072620619494,0.166956606549856
"Q1 1998",99240,5.81198221539839,8.32621823793586,89913.1666666667,9326.83333333333,24221.9126602564,76635.5625,22604.4375,64433.9957932692,934612,0.106183100580776,0.166956606549856
"Q2 1998",96917,2.08344305290766,8.32621823793586,91332.25,5584.75,24221.9126602564,77677,19240,64433.9957932692,935212,0.103631048361227,0.166956606549856
"Q3 1998",97461,0.819290568848338,8.32621823793586,92633.6666666667,4827.33333333333,24221.9126602564,78687.5625,18773.4375,64433.9957932692,938872,0.103806482672824,0.166956606549856
"Q4 1998",97755,0.690116907864243,8.32621823793586,93769,3986,24221.9126602564,79687.59375,18067.40625,64433.9957932692,953496,0.102522716403635,0.166956606549856
"Q1 1999",100012,0.777912132204756,8.32621823793586,94906.6666666667,5105.33333333333,24221.9126602564,80770.5625,19241.4375,64433.9957932692,975240,0.102551166892252,0.166956606549856
"Q2 1999",102168,5.41803811508817,8.32621823793586,96190.8333333333,5977.16666666667,24221.9126602564,81891.625,20276.375,64433.9957932692,994172,0.102766925642645,0.166956606549856
"Q3 1999",104234,6.94944644524476,8.32621823793586,97530.5,6703.5,24221.9126602564,83091.28125,21142.71875,64433.9957932692,1021308,0.102059320009243,0.166956606549856
