"Period","Fed Gov Interest to Foreigners","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","Revenue","Ratio: Fed Gov Interest to Foreigners to Revenue","Mean_of_Ratio"
"Q1 1990",1221,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,28947,NA,0.0161281486456186
"Q2 1990",1228,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,32632,NA,0.0161281486456186
"Q3 1990",1318,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,31005,NA,0.0161281486456186
"Q4 1990",1406,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,28927,NA,0.0161281486456186
"Q1 1991",1404,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,28250,NA,0.0161281486456186
"Q2 1991",1426,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,32679,NA,0.0161281486456186
"Q3 1991",1455,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,31753,NA,0.0161281486456186
"Q4 1991",1543,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,34647,NA,0.0161281486456186
"Q1 1992",1508,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,33614,NA,0.0161281486456186
"Q2 1992",1543,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,32993,NA,0.0161281486456186
"Q3 1992",1562,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,31907,NA,0.0161281486456186
"Q4 1992",1554,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,33012,NA,0.0161281486456186
"Q1 1993",1639,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,33461,NA,0.0161281486456186
"Q2 1993",1708,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,30795,NA,0.0161281486456186
"Q3 1993",1677,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,32326,NA,0.0161281486456186
"Q4 1993",1632,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,33699,NA,0.0161281486456186
"Q1 1994",1575,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,30390,NA,0.0161281486456186
"Q2 1994",1576,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,32586,NA,0.0161281486456186
"Q3 1994",1630,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,35049,NA,0.0161281486456186
"Q4 1994",1555,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,35373,NA,0.0161281486456186
"Q1 1995",1444,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,33708,NA,0.0161281486456186
"Q2 1995",1500,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,34703,NA,0.0161281486456186
"Q3 1995",1676,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,36768,NA,0.0161281486456186
"Q4 1995",1697,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,36984,NA,0.0161281486456186
"Q1 1996",1631,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,34699,NA,0.0161281486456186
"Q2 1996",1618,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,37046,NA,0.0161281486456186
"Q3 1996",1675,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,38857,NA,0.0161281486456186
"Q4 1996",1730,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,39821,NA,0.0161281486456186
"Q1 1997",1700,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,38530,NA,0.0161281486456186
"Q2 1997",1700,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,42239,NA,0.0161281486456186
"Q3 1997",1670,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,42410,NA,0.0161281486456186
"Q4 1997",1698,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,43987,NA,0.0161281486456186
"Q1 1998",1589,-6.52941176470588,-1.75313656927428,1657,-68,-48.436553030303,1570.84375,18.15625,-124.068181818182,40535,0.0392006907610707,0.0161281486456186
"Q2 1998",1571,-7.58823529411765,-1.75313656927428,1662.91666666667,-91.9166666666667,-48.436553030303,1581.5625,-10.5625,-124.068181818182,44172,0.0355655166168614,0.0161281486456186
"Q3 1998",1535,-8.08383233532934,-1.75313656927428,1651.16666666667,-116.166666666667,-48.436553030303,1588.34375,-53.34375,-124.068181818182,43759,0.035078498137526,0.0161281486456186
"Q4 1998",1439,-15.2532391048292,-1.75313656927428,1629.66666666667,-190.666666666667,-48.436553030303,1589.375,-150.375,-124.068181818182,43688,0.0329381065738876,0.0161281486456186
"Q1 1999",1414,-11.0132158590308,-1.75313656927428,1611.58333333333,-197.583333333333,-48.436553030303,1589.6875,-175.6875,-124.068181818182,42188,0.0335166398027875,0.0161281486456186
"Q2 1999",1409,-10.3119032463399,-1.75313656927428,1594.16666666667,-185.166666666667,-48.436553030303,1589.15625,-180.15625,-124.068181818182,46857,0.0300702136287001,0.0161281486456186
"Q3 1999",1431,-6.77524429967427,-1.75313656927428,1573.83333333333,-142.833333333333,-48.436553030303,1588.40625,-157.40625,-124.068181818182,46479,0.0307880978506422,0.0161281486456186
"Q4 1999",1477,2.64072272411397,-1.75313656927428,1552.75,-75.75,-48.436553030303,1586.34375,-109.34375,-124.068181818182,47275,0.0312427287149656,0.0161281486456186
"Q1 2000",1399,-1.06082036775106,-1.75313656927428,1527.66666666667,-128.666666666667,-48.436553030303,1582.9375,-183.9375,-124.068181818182,47823,0.0292537063755933,0.0161281486456186
"Q2 2000",1382,-1.91625266146203,-1.75313656927428,1501.16666666667,-119.166666666667,-48.436553030303,1577.90625,-195.90625,-124.068181818182,51542,0.0268130844747973,0.0161281486456186
"Q3 2000",1330,-7.05800139762404,-1.75313656927428,1472.83333333333,-142.833333333333,-48.436553030303,1570.65625,-240.65625,-124.068181818182,50626,0.0262710860032394,0.0161281486456186
"Q4 2000",1295,-12.3222748815166,-1.75313656927428,1439.25,-144.25,-48.436553030303,1562.5625,-267.5625,-124.068181818182,51816,0.0249922803767176,0.0161281486456186
"Q1 2001",1267,-9.43531093638313,-1.75313656927428,1412.41666666667,-145.416666666667,-48.436553030303,1550.9375,-283.9375,-124.068181818182,49038,0.0258371059178596,0.0161281486456186
"Q2 2001",1280,-7.38060781476122,-1.75313656927428,1388.16666666667,-108.166666666667,-48.436553030303,1537.5625,-257.5625,-124.068181818182,52957,0.0241705534679079,0.0161281486456186
"Q3 2001",1217,-8.49624060150376,-1.75313656927428,1361.66666666667,-144.666666666667,-48.436553030303,1523.1875,-306.1875,-124.068181818182,49039,0.0248169824017619,0.0161281486456186
"Q4 2001",1158,-10.5791505791506,-1.75313656927428,1338.25,-180.25,-48.436553030303,1508.375,-350.375,-124.068181818182,47816,0.0242178350342981,0.0161281486456186
"Q1 2002",1071,-15.4696132596685,-1.75313656927428,1309.66666666667,-238.666666666667,-48.436553030303,1492.625,-421.625,-124.068181818182,45289,0.0236481264766279,0.0161281486456186
"Q2 2002",1060,-17.1875,-1.75313656927428,1280.58333333333,-220.583333333333,-48.436553030303,1476.5,-416.5,-124.068181818182,49216,0.021537711313394,0.0161281486456186
"Q3 2002",1083,-11.0106820049302,-1.75313656927428,1251.58333333333,-168.583333333333,-48.436553030303,1459.40625,-376.40625,-124.068181818182,49178,0.0220220423766725,0.0161281486456186
"Q4 2002",1148,-0.863557858376511,-1.75313656927428,1224.16666666667,-76.1666666666667,-48.436553030303,1446.6875,-298.6875,-124.068181818182,51064,0.0224815917280276,0.0161281486456186
"Q1 2003",1144,6.81605975723623,-1.75313656927428,1202.91666666667,-58.9166666666667,-48.436553030303,1437.3125,-293.3125,-124.068181818182,49020,0.0233374133006936,0.0161281486456186
"Q2 2003",1143,7.83018867924528,-1.75313656927428,1183,-40,-48.436553030303,1426.15625,-283.15625,-124.068181818182,49081,0.0232880340661356,0.0161281486456186
"Q3 2003",972,-10.2493074792244,-1.75313656927428,1153.16666666667,-181.166666666667,-48.436553030303,1404.15625,-432.15625,-124.068181818182,51007,0.0190562079714549,0.0161281486456186
"Q4 2003",853,-25.6968641114983,-1.75313656927428,1116.33333333333,-263.333333333333,-48.436553030303,1377.78125,-524.78125,-124.068181818182,51710,0.0164958421968671,0.0161281486456186
"Q1 2004",828,-27.6223776223776,-1.75313656927428,1079.75,-251.75,-48.436553030303,1352.6875,-524.6875,-124.068181818182,50546,0.0163811181893721,0.0161281486456186
"Q2 2004",793,-30.6211723534558,-1.75313656927428,1039.16666666667,-246.166666666667,-48.436553030303,1326.90625,-533.90625,-124.068181818182,52201,0.0151912798605391,0.0161281486456186
"Q3 2004",795,-18.2098765432099,-1.75313656927428,1004,-209,-48.436553030303,1299.40625,-504.40625,-124.068181818182,53577,0.0148384568004927,0.0161281486456186
"Q4 2004",758,-11.137162954279,-1.75313656927428,970.666666666667,-212.666666666667,-48.436553030303,1269.03125,-511.03125,-124.068181818182,53381,0.0141998089207771,0.0161281486456186
"Q1 2005",702,-15.2173913043478,-1.75313656927428,939.916666666667,-237.916666666667,-48.436553030303,1237.84375,-535.84375,-124.068181818182,54446,0.0128935091650443,0.0161281486456186
"Q2 2005",651,-17.906683480454,-1.75313656927428,905.833333333333,-254.833333333333,-48.436553030303,1205.0625,-554.0625,-124.068181818182,54886,0.0118609481470685,0.0161281486456186
"Q3 2005",595,-25.1572327044025,-1.75313656927428,865.166666666667,-270.166666666667,-48.436553030303,1171.46875,-576.46875,-124.068181818182,55546,0.0107118424368991,0.0161281486456186
"Q4 2005",562,-25.8575197889182,-1.75313656927428,816.333333333333,-254.333333333333,-48.436553030303,1135.96875,-573.96875,-124.068181818182,56507,0.00994567044790911,0.0161281486456186
"Q1 2006",563,-19.8005698005698,-1.75313656927428,767.916666666667,-204.916666666667,-48.436553030303,1103.90625,-540.90625,-124.068181818182,56482,0.00996777734499486,0.0161281486456186
"Q2 2006",567,-12.9032258064516,-1.75313656927428,719.916666666667,-152.916666666667,-48.436553030303,1072.53125,-505.53125,-124.068181818182,57499,0.00986104106158368,0.0161281486456186
"Q3 2006",538,-9.57983193277311,-1.75313656927428,683.75,-145.75,-48.436553030303,1041.375,-503.375,-124.068181818182,57992,0.00927714167471375,0.0161281486456186
"Q4 2006",543,-3.38078291814947,-1.75313656927428,657.916666666667,-114.916666666667,-48.436553030303,1013.375,-470.375,-124.068181818182,60430,0.00898560317722985,0.0161281486456186
"Q1 2007",521,-7.46003552397869,-1.75313656927428,632.333333333333,-111.333333333333,-48.436553030303,985.46875,-464.46875,-124.068181818182,60331,0.00863569309310305,0.0161281486456186
"Q2 2007",521,-8.11287477954145,-1.75313656927428,609.666666666667,-88.6666666666666,-48.436553030303,957.71875,-436.71875,-124.068181818182,62889,0.00828443766000414,0.0161281486456186
"Q3 2007",501,-6.87732342007435,-1.75313656927428,585.166666666667,-84.1666666666666,-48.436553030303,928.65625,-427.65625,-124.068181818182,61439,0.00815442959683589,0.0161281486456186
"Q4 2007",505,-6.99815837937385,-1.75313656927428,564.083333333333,-59.0833333333334,-48.436553030303,898.28125,-393.28125,-124.068181818182,61445,0.00821873219952803,0.0161281486456186
"Q1 2008",520,-0.191938579654511,-1.75313656927428,548.916666666667,-28.9166666666666,-48.436553030303,870.8125,-350.8125,-124.068181818182,63435,0.00819736738393631,0.0161281486456186
"Q2 2008",535,2.68714011516315,-1.75313656927428,539.25,-4.25,-48.436553030303,844.34375,-309.34375,-124.068181818182,60150,0.00889443059019119,0.0161281486456186
"Q3 2008",510,1.79640718562874,-1.75313656927428,532.166666666667,-22.1666666666666,-48.436553030303,818.71875,-308.71875,-124.068181818182,59533,0.0085666773050241,0.0161281486456186
"Q4 2008",480,-4.95049504950495,-1.75313656927428,525.333333333333,-45.3333333333334,-48.436553030303,793.25,-313.25,-124.068181818182,57858,0.00829617339002385,0.0161281486456186
"Q1 2009",495,-4.80769230769231,-1.75313656927428,519.666666666667,-24.6666666666666,-48.436553030303,769.125,-274.125,-124.068181818182,59139,0.0083701110942018,0.0161281486456186
"Q2 2009",474,-11.4018691588785,-1.75313656927428,511.916666666667,-37.9166666666667,-48.436553030303,743.9375,-269.9375,-124.068181818182,54823,0.00864600623825766,0.0161281486456186
"Q3 2009",524,2.74509803921569,-1.75313656927428,510.75,13.25,-48.436553030303,722.28125,-198.28125,-124.068181818182,54833,0.00955628909598235,0.0161281486456186
"Q4 2009",569,18.5416666666667,-1.75313656927428,512.916666666667,56.0833333333334,-48.436553030303,703.875,-134.875,-124.068181818182,57506,0.00989461969185824,0.0161281486456186
"Q1 2010",677,36.7676767676768,-1.75313656927428,525.916666666667,151.083333333333,-48.436553030303,691.5625,-14.5625,-124.068181818182,58600,0.0115529010238908,0.0161281486456186
"Q2 2010",775,63.5021097046413,-1.75313656927428,547.083333333333,227.916666666667,-48.436553030303,682.65625,92.34375,-124.068181818182,57877,0.0133904659882164,0.0161281486456186
"Q3 2010",865,65.0763358778626,-1.75313656927428,577.416666666667,287.583333333333,-48.436553030303,675.84375,189.15625,-124.068181818182,55180,0.0156759695541863,0.0161281486456186
"Q4 2010",873,53.427065026362,-1.75313656927428,608.083333333333,264.916666666667,-48.436553030303,667.25,205.75,-124.068181818182,58123,0.0150198716514977,0.0161281486456186
"Q1 2011",894,32.0531757754801,-1.75313656927428,639.25,254.75,-48.436553030303,659.4375,234.5625,-124.068181818182,61843,0.014455961062691,0.0161281486456186
"Q2 2011",903,16.5161290322581,-1.75313656927428,669.916666666667,233.083333333333,-48.436553030303,651.9375,251.0625,-124.068181818182,61606,0.014657663214622,0.0161281486456186
"Q3 2011",900,4.04624277456647,-1.75313656927428,702.416666666667,197.583333333333,-48.436553030303,649.6875,250.3125,-124.068181818182,60363,0.0149097957357984,0.0161281486456186
"Q4 2011",901,3.20733104238259,-1.75313656927428,737.5,163.5,-48.436553030303,651.1875,249.8125,-124.068181818182,61891,0.0145578517070333,0.0161281486456186
"Q1 2012",938,4.92170022371365,-1.75313656927428,774.416666666667,163.583333333333,-48.436553030303,654.625,283.375,-124.068181818182,64855,0.0144630329195899,0.0161281486456186
"Q2 2012",932,3.21151716500554,-1.75313656927428,812.583333333333,119.416666666667,-48.436553030303,658.96875,273.03125,-124.068181818182,62984,0.0147974088657437,0.0161281486456186
"Q3 2012",973,8.11111111111111,-1.75313656927428,850,123,-48.436553030303,664.53125,308.46875,-124.068181818182,61275,0.0158792329661363,0.0161281486456186
"Q4 2012",996,10.5438401775805,-1.75313656927428,885.583333333333,110.416666666667,-48.436553030303,671.96875,324.03125,-124.068181818182,63266,0.0157430531407075,0.0161281486456186
"Q1 2013",989,5.43710021321962,-1.75313656927428,911.583333333333,77.4166666666666,-48.436553030303,680.9375,308.0625,-124.068181818182,65690,0.0150555640127873,0.0161281486456186
"Q2 2013",994,6.65236051502146,-1.75313656927428,929.833333333333,64.1666666666666,-48.436553030303,691.65625,302.34375,-124.068181818182,64182,0.0154872082515347,0.0161281486456186
"Q3 2013",991,1.84994861253854,-1.75313656927428,940.333333333333,50.6666666666666,-48.436553030303,704.03125,286.96875,-124.068181818182,65525,0.0151239984738649,0.0161281486456186
"Q4 2013",993,-0.301204819277108,-1.75313656927428,950.333333333333,42.6666666666666,-48.436553030303,717.5,275.5,-124.068181818182,66270,0.0149841557265731,0.0161281486456186
"Q1 2014",958,-3.13447927199191,-1.75313656927428,955.666666666667,2.33333333333337,-48.436553030303,729.84375,228.15625,-124.068181818182,73421,0.0130480380272674,0.0161281486456186
"Q2 2014",932,-6.2374245472837,-1.75313656927428,958.083333333333,-26.0833333333334,-48.436553030303,741.25,190.75,-124.068181818182,67052,0.0138996599654,0.0161281486456186
"Q3 2014",918,-7.36629667003027,-1.75313656927428,959.583333333333,-41.5833333333334,-48.436553030303,753.125,164.875,-124.068181818182,67601,0.013579680773953,0.0161281486456186
"Q4 2014",923,-7.04934541792548,-1.75313656927428,961.416666666667,-38.4166666666666,-48.436553030303,765,158,-124.068181818182,67155,0.0137443228352319,0.0161281486456186
"Q1 2015",904,-5.63674321503132,-1.75313656927428,958.583333333333,-54.5833333333334,-48.436553030303,776.96875,127.03125,-124.068181818182,73710,0.0122642789309456,0.0161281486456186
"Q2 2015",935,0.321888412017167,-1.75313656927428,958.833333333333,-23.8333333333334,-48.436553030303,789.90625,145.09375,-124.068181818182,72196,0.0129508560031027,0.0161281486456186
"Q3 2015",954,3.92156862745098,-1.75313656927428,957.25,-3.25,-48.436553030303,804.0625,149.9375,-124.068181818182,69939,0.0136404581134989,0.0161281486456186
"Q4 2015",946,2.49187432286024,-1.75313656927428,953.083333333333,-7.08333333333337,-48.436553030303,817.84375,128.15625,-124.068181818182,71676,0.0131982811540823,0.0161281486456186
"Q1 2016",927,2.54424778761062,-1.75313656927428,947.916666666667,-20.9166666666666,-48.436553030303,830.5625,96.4375,-124.068181818182,77688,0.0119323447636701,0.0161281486456186
"Q2 2016",919,-1.71122994652406,-1.75313656927428,941.666666666667,-22.6666666666666,-48.436553030303,842.5625,76.4375,-124.068181818182,72730,0.0126357761583941,0.0161281486456186
"Q3 2016",929,-2.62054507337526,-1.75313656927428,936.5,-7.5,-48.436553030303,855.65625,73.34375,-124.068181818182,70341,0.0132070911701568,0.0161281486456186
"Q4 2016",916,-3.17124735729387,-1.75313656927428,930.083333333333,-14.0833333333334,-48.436553030303,869.28125,46.71875,-124.068181818182,72427,0.0126472171980063,0.0161281486456186
"Q1 2017",868,-6.36461704422869,-1.75313656927428,922.583333333333,-54.5833333333334,-48.436553030303,880.9375,-12.9375,-124.068181818182,79681,0.0108934375823597,0.0161281486456186
"Q2 2017",872,-5.11425462459195,-1.75313656927428,917.583333333333,-45.5833333333334,-48.436553030303,893.375,-21.375,-124.068181818182,80819,0.0107895420631287,0.0161281486456186
"Q3 2017",882,-5.05920344456405,-1.75313656927428,914.583333333333,-32.5833333333334,-48.436553030303,904.5625,-22.5625,-124.068181818182,76363,0.0115500962508021,0.0161281486456186
"Q4 2017",978,6.76855895196507,-1.75313656927428,919.166666666667,58.8333333333334,-48.436553030303,917.34375,60.65625,-124.068181818182,77681,0.0125899512107208,0.0161281486456186
"Q1 2018",959,10.4838709677419,-1.75313656927428,923.75,35.25,-48.436553030303,926.15625,32.84375,-124.068181818182,86807,0.0110474961696637,0.0161281486456186
"Q2 2018",915,4.93119266055046,-1.75313656927428,922.083333333333,-7.08333333333337,-48.436553030303,930.53125,-15.53125,-124.068181818182,81512,0.0112253410540779,0.0161281486456186
"Q3 2018",943,6.91609977324263,-1.75313656927428,921.166666666667,21.8333333333334,-48.436553030303,932.96875,10.03125,-124.068181818182,81623,0.0115531161559854,0.0161281486456186
"Q4 2018",927,-5.21472392638037,-1.75313656927428,919.583333333333,7.41666666666663,-48.436553030303,934.65625,-7.65625,-124.068181818182,82604,0.0112222168417994,0.0161281486456186
"Q1 2019",919,-4.17101147028154,-1.75313656927428,918.916666666667,0.0833333333333712,-48.436553030303,935.4375,-16.4375,-124.068181818182,90242,0.0101837281975134,0.0161281486456186
"Q2 2019",908,-0.765027322404372,-1.75313656927428,918,-10,-48.436553030303,935.59375,-27.59375,-124.068181818182,85357,0.0106376747074054,0.0161281486456186
"Q3 2019",869,-7.84729586426299,-1.75313656927428,913,-44,-48.436553030303,934.625,-65.625,-124.068181818182,83629,0.0103911322627318,0.0161281486456186
"Q4 2019",864,-6.79611650485437,-1.75313656927428,908.666666666667,-44.6666666666666,-48.436553030303,933.46875,-69.46875,-124.068181818182,84524,0.0102219487956083,0.0161281486456186
