"Period","House Price Index","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","Disposable Income","Ratio: House Price Index to Disposable Income","Mean_of_Ratio"
"Q1 2001",69.078321318,2.98933691503114,5.21940721739354,66.13980214,2.93851917799999,8.48470255203445,62.91173099875,6.16659031924999,21.7002199114751,89.855880933,0.768767949306595,1.05491204584963
"Q2 2001",69.83792432,3.02229296201671,5.21940721739354,66.6350034009167,3.20292091908333,8.48470255203445,63.2067302180312,6.63119410196875,21.7002199114751,87.75685332,0.795811628128236,1.05491204584963
"Q3 2001",70.422201682,3.40600484443817,5.21940721739354,67.17207830375,3.25012337825,8.48470255203445,63.500774202,6.92142747999999,21.7002199114751,89.804021693,0.784176480678584,1.05491204584963
"Q4 2001",71.105857344,4.10146500441814,5.21940721739354,67.771936919,3.333920425,8.48470255203445,63.8186110609687,7.28724628303125,21.7002199114751,90.412314106,0.786462088124799,1.05491204584963
"Q1 2002",73.754178848,6.76892176993536,5.21940721739354,68.5598262221667,5.19435262583333,8.48470255203445,64.2326979489062,9.52148089909375,21.7002199114751,91.473506143,0.806290061000838,1.05491204584963
"Q2 2002",75.288040519,7.80394928982621,5.21940721739354,69.3857276514167,5.90231286758333,8.48470255203445,64.6724149163438,10.6156256026563,21.7002199114751,91.289629635,0.824716244550684,1.05491204584963
"Q3 2002",76.843439796,9.11820130673546,5.21940721739354,70.3458486699167,6.49759112608334,8.48470255203445,65.1491309039375,11.6943088920625,21.7002199114751,92.494555316,0.830788791118253,1.05491204584963
"Q4 2002",79.115650944,11.2646044913709,5.21940721739354,71.39291901225,7.72273193174999,8.48470255203445,65.6807832019063,13.4348677420937,21.7002199114751,93.105366622,0.8497431868262,1.05491204584963
"Q1 2003",80.987189519,9.80691641338251,5.21940721739354,72.5524118768333,8.43477764216667,8.48470255203445,66.2785097671875,14.7086797518125,21.7002199114751,94.281155655,0.858996572075907,1.05491204584963
"Q2 2003",82.747279572,9.90760152818368,5.21940721739354,73.7989236766667,8.94835589533334,8.48470255203445,66.9625350850312,15.7847444869687,21.7002199114751,93.496338762,0.885032298244723,1.05491204584963
"Q3 2003",85.165495839,10.8298848478061,5.21940721739354,75.2208297430833,9.94466609591667,8.48470255203445,67.73807118925,17.42742464975,21.7002199114751,93.542696755,0.910445163475018,1.05491204584963
"Q4 2003",86.157150074,8.90026062603486,5.21940721739354,76.7085608145833,9.44858925941666,8.48470255203445,68.5460886592813,17.6110614147187,21.7002199114751,94.422839513,0.912460910076084,1.05491204584963
"Q1 2004",88.6814638,9.50060661037619,5.21940721739354,78.3421560214167,10.3393077785833,8.48470255203445,69.4450160825313,19.2364477174687,21.7002199114751,95.527835103,0.928331137247922,1.05491204584963
"Q2 2004",92.267234176,11.5048550879748,5.21940721739354,80.2112651760833,12.0559689999167,8.48470255203445,70.4632754968125,21.8039586791875,21.7002199114751,97.640035678,0.944973376292912,1.05491204584963
"Q3 2004",93.697351111,10.0179717008035,5.21940721739354,82.1508609618333,11.5464901491667,8.48470255203445,71.5341186347813,22.1632324762188,21.7002199114751,98.15839062,0.954552642104026,1.05491204584963
"Q4 2004",94.217899149,9.35586781605086,5.21940721739354,84.0768644455833,10.1410347034167,8.48470255203445,72.6313892927813,21.5865098562188,21.7002199114751,98.701088716,0.954578114331648,1.05491204584963
"Q1 2005",96.462920277,8.77461438226733,5.21940721739354,85.9692595646667,10.4936607123333,8.48470255203445,73.78153382925,22.68138644775,21.7002199114751,97.937681179,0.984941843790394,1.05491204584963
"Q2 2005",99.419759955,7.7519672534635,5.21940721739354,87.9802361843333,11.4395237706667,8.48470255203445,74.999993854125,24.419766100875,21.7002199114751,99.85662818,0.995625045297819,1.05491204584963
"Q3 2005",101.263810508,8.07542508649608,5.21940721739354,90.015267077,11.248543431,8.48470255203445,76.1947014405312,25.0691090674688,21.7002199114751,100.43188607,1.00828346923028,1.05491204584963
"Q4 2005",102.85350926,9.1655727722641,5.21940721739354,91.9934219366667,10.8600873233333,8.48470255203445,77.4316462332813,25.4218630267187,21.7002199114751,101.773804572,1.01060886632411,1.05491204584963
"Q1 2006",106.76416819,10.6789716539985,5.21940721739354,94.1415034925833,12.6226646974167,8.48470255203445,78.7728172050937,27.9913509849063,21.7002199114751,104.387401373,1.0227687133288,1.05491204584963
"Q2 2006",113.091169223,13.7511992326154,5.21940721739354,96.6701609635,16.4210082595,8.48470255203445,80.3101815811563,32.7809876418437,21.7002199114751,104.358741927,1.08367700812366,1.05491204584963
"Q3 2006",116.938240203,15.4788069067988,5.21940721739354,99.3178896605,17.6203505425,8.48470255203445,81.9652108735,34.9730293295,21.7002199114751,106.784725405,1.09508396223796,1.05491204584963
"Q4 2006",118.11461728,14.8377125192899,5.21940721739354,101.981011927667,16.1336053523333,8.48470255203445,83.6591816022188,34.4554356777813,21.7002199114751,108.452502803,1.08909074689176,1.05491204584963
"Q1 2007",121.929894285,14.2048838595461,5.21940721739354,104.751714468083,17.1781798169167,8.48470255203445,85.4601311983125,36.4697630866875,21.7002199114751,110.291981204,1.10551912255048,1.05491204584963
"Q2 2007",128.002543518,13.1852684851077,5.21940721739354,107.72965691325,20.27288660475,8.48470255203445,87.417172453,40.585371065,21.7002199114751,109.939127385,1.16430379758922,1.05491204584963
"Q3 2007",130.609649471,11.6911364873176,5.21940721739354,110.805681776583,19.8039676944167,8.48470255203445,89.4574118872813,41.1522375837188,21.7002199114751,110.119642922,1.18607040492779,1.05491204584963
"Q4 2007",130.609649471,10.5787348583449,5.21940721739354,113.83832763675,16.77132183425,8.48470255203445,91.459250719625,39.150398751375,21.7002199114751,111.677321101,1.16952706407488,1.05491204584963
"Q1 2008",132.612669899,8.76140808342701,5.21940721739354,116.850806771917,15.7618631270833,8.48470255203445,93.5073568057188,39.1053130932812,21.7002199114751,113.698689307,1.16635179092461,1.05491204584963
"Q2 2008",134.488514427,5.06706408383825,5.21940721739354,119.773202977917,14.7153114490833,8.48470255203445,95.591712319875,38.896802107125,21.7002199114751,115.208040917,1.16735354022633,1.05491204584963
"Q3 2008",132.262936174,1.26582278544977,5.21940721739354,122.356463450083,9.90647272391666,8.48470255203445,97.59672210525,34.66621406875,21.7002199114751,117.072153669,1.12975572780483,1.05491204584963
"Q4 2008",127.779985693,-2.1665043811547,5.21940721739354,124.4336698195,3.34631587349999,8.48470255203445,99.4553348701562,28.3246508228438,21.7002199114751,116.557511295,1.09628272149357,1.05491204584963
"Q1 2009",124.759558064,-5.92184128483429,5.21940721739354,125.933285642333,-1.17372757833334,8.48470255203445,101.195373518469,23.5641845455312,21.7002199114751,115.975741279,1.07573839742804,1.05491204584963
"Q2 2009",126.921548367,-5.62647754140175,5.21940721739354,127.085817237667,-0.164268870666675,8.48470255203445,102.979236769938,23.9423115970625,21.7002199114751,115.868201714,1.09539585917009,1.05491204584963
"Q3 2009",130.609649471,-1.25000000062375,5.21940721739354,128.225101343333,2.38454812766668,8.48470255203445,104.860094513344,25.7495549576563,21.7002199114751,117.677287445,1.1098968399662,1.05491204584963
"Q4 2009",133.6300771,4.57825329629887,5.21940721739354,129.518056328333,4.11202077166666,8.48470255203445,106.813976380719,26.8161007192812,21.7002199114751,119.22380086,1.12083389504514,1.05491204584963
"Q1 2010",137.604323981,10.2956167177274,5.21940721739354,130.824258803,6.780065178,8.48470255203445,108.809293416125,28.795030564875,21.7002199114751,121.660965311,1.13104744508022,1.05491204584963
"Q2 2010",140.370399809,10.5961923842214,5.21940721739354,131.854913493917,8.51548631508331,8.48470255203445,110.843117143938,29.5272826650625,21.7002199114751,120.020053088,1.16955788801459,1.05491204584963
"Q3 2010",138.876082982,6.32911392418632,5.21940721739354,132.543782953167,6.33230002883334,8.48470255203445,112.7816372435,26.0944457385,21.7002199114751,121.567890326,1.14237470609703,1.05491204584963
"Q4 2010",138.017645656,3.28336902231722,5.21940721739354,133.161115968583,4.85652968741667,8.48470255203445,114.62232457825,23.39532107775,21.7002199114751,123.526061044,1.11731600999435,1.05491204584963
"Q1 2011",140.81551546,2.33364140464321,5.21940721739354,133.844686432,6.970829028,8.48470255203445,116.491959763906,24.3235556960937,21.7002199114751,123.99265875,1.13567623179949,1.05491204584963
"Q2 2011",144.91693824,3.23895809742398,5.21940721739354,134.71372174975,10.20321649025,8.48470255203445,118.434761597281,26.4821766427188,21.7002199114751,124.138699274,1.16737922249482,1.05491204584963
"Q3 2011",145.966139417,5.10531135582139,5.21940721739354,135.855655353333,10.1104840636667,8.48470255203445,120.334781709094,25.6313577079062,21.7002199114751,124.962127623,1.16808301998,1.05491204584963
"Q4 2011",145.807169541,5.64386086139657,5.21940721739354,137.357920674,8.44924886699999,8.48470255203445,122.198844817438,23.6083247235625,21.7002199114751,127.064287047,1.14750708424522,1.05491204584963
"Q1 2012",148.350687545,5.35109505538858,5.21940721739354,139.32384813075,9.02683941424999,8.48470255203445,124.063508059469,24.2871794855312,21.7002199114751,127.87237043,1.1601465355349,1.05491204584963
"Q2 2012",152.67466815,5.35322509860942,5.21940721739354,141.469941446,11.204726704,8.48470255203445,125.951240371156,26.7234277788437,21.7002199114751,128.290309448,1.19007171162748,1.05491204584963
"Q3 2012",152.54749225,4.50882160704287,5.21940721739354,143.298095010917,9.24939723908335,8.48470255203445,127.79030728175,24.75718496825,21.7002199114751,129.715895513,1.17601232791637,1.05491204584963
"Q4 2012",151.530085049,3.92498909759767,5.21940721739354,144.78976234,6.740322709,8.48470255203445,129.581313091125,21.948771957875,21.7002199114751,130.485317508,1.16128073213839,1.05491204584963
"Q1 2013",153.215165726,3.27903986257188,5.21940721739354,146.09066581875,7.12449990725,8.48470255203445,131.354820761406,21.8603449645938,21.7002199114751,132.947193752,1.1524512959018,1.05491204584963
"Q2 2013",157.253000556,2.99875052061804,5.21940721739354,147.497549214333,9.75545134166666,8.48470255203445,133.162109530188,24.0908910258125,21.7002199114751,133.53877843,1.17758303921007,1.05491204584963
"Q3 2013",158.270407758,3.75156315163876,5.21940721739354,149.113742945667,9.15666481233333,8.48470255203445,134.94356569425,23.32684206375,21.7002199114751,134.04259429,1.18074712442213,1.05491204584963
"Q4 2013",158.874493284,4.84683172495089,5.21940721739354,150.851813581333,8.02267970266666,8.48470255203445,136.694221445,22.180271839,21.7002199114751,135.433714824,1.1730793435775,1.05491204584963
"Q1 2014",161.894920912,5.6650757416027,5.21940721739354,152.608430702333,9.28649020966665,8.48470255203445,138.417057467563,23.4778634444375,21.7002199114751,135.989980271,1.19049153907793,1.05491204584963
"Q2 2014",166.568635244,5.92397897341399,5.21940721739354,154.412738786,12.155896458,8.48470255203445,140.088228280719,26.4804069632812,21.7002199114751,136.65877892,1.2188652391041,1.05491204584963
"Q3 2014",167.68142437,5.94616311748543,5.21940721739354,156.222345865417,11.4590785045833,8.48470255203445,141.673952785938,26.0074715840625,21.7002199114751,138.659732226,1.20930151586257,1.05491204584963
"Q4 2014",168.062952071,5.78347008199419,5.21940721739354,158.076994409583,9.98595766141668,8.48470255203445,143.234838248156,24.8281138228438,21.7002199114751,139.009946307,1.20899947475584,1.05491204584963
"Q1 2015",170.701851999,5.43990573477418,5.21940721739354,159.939591447417,10.7622605515834,8.48470255203445,144.758961926719,25.9428900722812,21.7002199114751,141.830560028,1.20356185553593,1.05491204584963
"Q2 2015",175.820681981,5.55449513256024,5.21940721739354,161.868425933333,13.9522560476667,8.48470255203445,146.253278753688,29.5674032273125,21.7002199114751,142.776624836,1.2314388449997,1.05491204584963
"Q3 2015",178.491375884,6.44671975719096,5.21940721739354,164.030416236167,14.4609596478333,8.48470255203445,147.749582704094,30.7417931799062,21.7002199114751,143.770144058,1.24150516126626,1.05491204584963
"Q4 2015",179.922104761,7.0563753307094,5.21940721739354,166.396417878833,13.5256868821667,8.48470255203445,149.290596931906,30.6315078290937,21.7002199114751,143.783625308,1.25133932584874,1.05491204584963
"Q1 2016",185.009140768,8.38144905954729,5.21940721739354,169.045915799,15.963224969,8.48470255203445,150.927986646563,34.0811541214375,21.7002199114751,139.953781224,1.32193027690969,1.05491204584963
"Q2 2016",197.218027184,12.1699819167533,5.21940721739354,172.376334684667,24.8416924993333,8.48470255203445,152.888283920219,44.3297432637812,21.7002199114751,142.491648385,1.3840672728491,1.05491204584963
"Q3 2016",204.053731818,14.3213395086454,5.21940721739354,176.191611689667,27.8621201283333,8.48470255203445,155.131746284094,48.9219855339062,21.7002199114751,143.839903491,1.41861699615759,1.05491204584963
"Q4 2016",206.533661871,14.7905990458201,5.21940721739354,180.163209071917,26.3704527990833,8.48470255203445,157.592798664656,48.9408632063437,21.7002199114751,145.58872946,1.41861023608798,1.05491204584963
"Q1 2017",216.326206184,16.9273070973673,5.21940721739354,184.69914951125,31.62705667275,8.48470255203445,160.454256418406,55.8719497655937,21.7002199114751,146.544233931,1.47618367765911,1.05491204584963
"Q2 2017",228.980208251,16.1051104305828,5.21940721739354,189.9001139285,39.0800943225,8.48470255203445,163.643589539781,65.3366187112187,21.7002199114751,148.79750131,1.53887132670293,1.05491204584963
"Q3 2017",220.71377474,8.16453723907361,5.21940721739354,194.319476459333,26.3942982806666,8.48470255203445,166.459343454438,54.2544312855625,21.7002199114751,151.062068584,1.46108005013363,1.05491204584963
"Q4 2017",217.661553136,5.38793103467581,5.21940721739354,198.45269321475,19.20885992125,8.48470255203445,169.085327080563,48.5762260554375,21.7002199114751,152.408361573,1.42814705761236,1.05491204584963
"Q1 2018",219.378427788,1.41093474426482,5.21940721739354,202.5090745305,16.8693532575,8.48470255203445,171.640767824531,47.7376599634688,21.7002199114751,153.142626748,1.43251054553865,1.05491204584963
"Q2 2018",222.526031317,-2.81866148314668,5.21940721739354,206.401186975167,16.1248443418333,8.48470255203445,174.208131309156,48.3179000078437,21.7002199114751,153.466276975,1.44999954194008,1.05491204584963
"Q3 2018",220.173277164,-0.244886200073685,5.21940721739354,209.8746787485,10.2985984155,8.48470255203445,176.748668627344,43.4246085366563,21.7002199114751,153.616091082,1.43326962438116,1.05491204584963
"Q4 2018",218.170256736,0.233713116841604,5.21940721739354,213.062024746417,5.10823198958335,8.48470255203445,179.253437723594,38.9168190124063,21.7002199114751,155.331010663,1.40455055178475,1.05491204584963
"Q1 2019",217.597965186,-0.811594202744756,5.21940721739354,215.777760114583,1.82020507141667,8.48470255203445,181.652889277531,35.9450759084688,21.7002199114751,156.575380694,1.38973294665819,1.05491204584963
"Q2 2019",221.15889039,-0.614373482018567,5.21940721739354,217.772832048417,3.38605834158335,8.48470255203445,184.035450282219,37.1234401077812,21.7002199114751,158.910255574,1.39172194765625,1.05491204584963
"Q3 2019",222.367061442,0.996389891751442,5.21940721739354,219.298942850417,3.06811859158333,8.48470255203445,186.4229790955,35.9440823465,21.7002199114751,159.419173,1.3948577028561,1.05491204584963
"Q4 2019",224.083936094,2.71058000594276,5.21940721739354,220.761465702333,3.32247039166666,8.48470255203445,188.869128050281,35.2148080437187,21.7002199114751,161.150581841,1.39052514445833,1.05491204584963
