"Period","Money Supply M2","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Money Supply M2 to GDP","Mean_of_Ratio"
"Q1 1999",455243,3.24960593311636,5.78232391104603,447360.25,7882.75,68287.9799679487,424973.25,30269.75,174357.442908654,975240,0.466800992576186,0.559288545922521
"Q2 1999",458635,3.84768658777924,5.78232391104603,448127.583333333,10507.4166666667,68287.9799679487,427385.65625,31249.34375,174357.442908654,994172,0.46132359390528,0.559288545922521
"Q3 1999",465086,4.3385597659659,5.78232391104603,449466.333333333,15619.6666666667,68287.9799679487,429870.4375,35215.5625,174357.442908654,1021308,0.455382705315145,0.559288545922521
"Q4 1999",476000,5.95743449448732,5.78232391104603,451764.666666667,24235.3333333333,68287.9799679487,432625.5625,43374.4375,174357.442908654,1040988,0.457257912675266,0.559288545922521
"Q1 2000",486890,6.95167196420373,5.78232391104603,455022.166666667,31867.8333333333,68287.9799679487,435567.65625,51322.34375,174357.442908654,1070188,0.454957446728986,0.559288545922521
"Q2 2000",494850,7.89625737242033,5.78232391104603,458795.166666667,36054.8333333333,68287.9799679487,438713.34375,56136.65625,174357.442908654,1099448,0.45008949945791,0.559288545922521
"Q3 2000",501896,7.91466524470743,5.78232391104603,463467.166666667,38428.8333333333,68287.9799679487,441869.875,60026.125,174357.442908654,1121768,0.447415151796093,0.559288545922521
"Q4 2000",510405,7.22794117647059,5.78232391104603,468878.833333333,41526.1666666667,68287.9799679487,445294.40625,65110.59375,174357.442908654,1132880,0.450537567968364,0.559288545922521
"Q1 2001",514506,5.67191768161186,5.78232391104603,475011.416666667,39494.5833333333,68287.9799679487,448779.09375,65726.90625,174357.442908654,1149924,0.447426090767738,0.559288545922521
"Q2 2001",515690,4.21137718500556,5.78232391104603,481182.083333333,34507.9166666667,68287.9799679487,452116.40625,63573.59375,174357.442908654,1152860,0.447313637388755,0.559288545922521
"Q3 2001",525497,4.70236861819979,5.78232391104603,487827.916666667,37669.0833333333,68287.9799679487,455704.46875,69792.53125,174357.442908654,1138804,0.461446394638586,0.559288545922521
"Q4 2001",535754,4.96644821269384,5.78232391104603,495037.666666667,40716.3333333333,68287.9799679487,459588.59375,76165.40625,174357.442908654,1136584,0.471372111520134,0.559288545922521
"Q1 2002",542672,5.47437736391801,5.78232391104603,502323.416666667,40348.5833333333,68287.9799679487,463735.0625,78936.9375,174357.442908654,1158640,0.468369812884071,0.559288545922521
"Q2 2002",547665,6.20043049118657,5.78232391104603,509742.583333333,37922.4166666667,68287.9799679487,467936.125,79728.875,174357.442908654,1185892,0.461816927679755,0.559288545922521
"Q3 2002",556275,5.85693162853451,5.78232391104603,517341.666666667,38933.3333333333,68287.9799679487,472198.375,84076.625,174357.442908654,1204144,0.461967173361326,0.559288545922521
"Q4 2002",563920,5.25726359485883,5.78232391104603,524668.333333333,39251.6666666666,68287.9799679487,476630.21875,87289.78125,174357.442908654,1226100,0.45992985890221,0.559288545922521
"Q1 2003",570805,5.18416280921072,5.78232391104603,531661.25,39143.75,68287.9799679487,481096.15625,89708.84375,174357.442908654,1250088,0.456611854525441,0.559288545922521
"Q2 2003",579346,5.78474067176102,5.78232391104603,538702.583333333,40643.4166666666,68287.9799679487,485649.6875,93696.3125,174357.442908654,1237720,0.468075170474744,0.559288545922521
"Q3 2003",590916,6.22731562626399,5.78232391104603,546120.916666667,44795.0833333334,68287.9799679487,490390.8125,100525.1875,174357.442908654,1258296,0.46961605218486,0.559288545922521
"Q4 2003",598540,6.139168676408,5.78232391104603,553465.5,45074.5,68287.9799679487,495310.71875,103229.28125,174357.442908654,1272884,0.470223523903199,0.559288545922521
"Q1 2004",609347,6.75221835828348,5.78232391104603,561368.916666667,47978.0833333334,68287.9799679487,500406.8125,108940.1875,174357.442908654,1296216,0.470096804853512,0.559288545922521
"Q2 2004",620306,7.07004104628322,5.78232391104603,570086.916666667,50219.0833333334,68287.9799679487,505746.78125,114559.21875,174357.442908654,1328148,0.467045841276725,0.559288545922521
"Q3 2004",623951,5.59047309600688,5.78232391104603,578291.416666667,45659.5833333334,68287.9799679487,511213.34375,112737.65625,174357.442908654,1351480,0.461679788084174,0.559288545922521
"Q4 2004",635539,6.18154175159555,5.78232391104603,586606.833333333,48932.1666666666,68287.9799679487,517060.8125,118478.1875,174357.442908654,1367080,0.464887936331451,0.559288545922521
"Q1 2005",647367,6.23946618265126,5.78232391104603,595331.416666667,52035.5833333334,68287.9799679487,523297.28125,124069.71875,174357.442908654,1380324,0.46899640953863,0.559288545922521
"Q2 2005",654613,5.5306574497103,5.78232391104603,604243.75,50369.25,68287.9799679487,529704.75,124908.25,174357.442908654,1399608,0.467711673554309,0.559288545922521
"Q3 2005",658959,5.61069699383445,5.78232391104603,612800.75,46158.25,68287.9799679487,536364.96875,122594.03125,174357.442908654,1436992,0.458568314924509,0.559288545922521
"Q4 2005",672111,5.7544855626484,5.78232391104603,621816.666666667,50294.3333333334,68287.9799679487,543447.65625,128663.34375,174357.442908654,1469436,0.457393857235021,0.559288545922521
"Q1 2006",686893,6.10565567908157,5.78232391104603,631490.666666667,55402.3333333334,68287.9799679487,551134.46875,135758.53125,174357.442908654,1476000,0.465374661246612,0.559288545922521
"Q2 2006",697245,6.51255016322621,5.78232391104603,641315.583333333,55929.4166666666,68287.9799679487,559122.0625,138122.9375,174357.442908654,1490716,0.467724905347497,0.559288545922521
"Q3 2006",715579,8.59234034287414,5.78232391104603,651704.166666667,63874.8333333334,68287.9799679487,567554.3125,148024.6875,174357.442908654,1504936,0.475487994173839,0.559288545922521
"Q4 2006",732277,8.95179516478677,5.78232391104603,662848.916666667,69428.0833333334,68287.9799679487,576399.3125,155877.6875,174357.442908654,1514764,0.483426461151704,0.559288545922521
"Q1 2007",743528,8.24509785366862,5.78232391104603,674030.666666667,69497.3333333334,68287.9799679487,585408.21875,158119.78125,174357.442908654,1547276,0.480539994157474,0.559288545922521
"Q2 2007",753454,8.06158523904797,5.78232391104603,685126.333333333,68327.6666666666,68287.9799679487,594621.3125,158832.6875,174357.442908654,1576612,0.477894370967619,0.559288545922521
"Q3 2007",772206,7.91345190398265,5.78232391104603,697480.916666667,74725.0833333334,68287.9799679487,604218.8125,167987.1875,174357.442908654,1582248,0.488043593671789,0.559288545922521
"Q4 2007",780487,6.58357424854256,5.78232391104603,709559.916666667,70927.0833333334,68287.9799679487,613734.03125,166752.96875,174357.442908654,1604508,0.48643384763429,0.559288545922521
"Q1 2008",802399,7.91779193251633,5.78232391104603,722479.25,79919.75,68287.9799679487,623593.6875,178805.3125,174357.442908654,1637296,0.490075710195346,0.559288545922521
"Q2 2008",820574,8.90830760736555,5.78232391104603,736309.333333333,84264.6666666666,68287.9799679487,633772.5625,186801.4375,174357.442908654,1677448,0.489179992464744,0.559288545922521
"Q3 2008",844119,9.31267045322103,5.78232391104603,751739.333333333,92379.6666666666,68287.9799679487,644467.03125,199651.96875,174357.442908654,1694512,0.498148729545734,0.559288545922521
"Q4 2008",890130,14.0480238620246,5.78232391104603,769907.583333333,120222.416666667,68287.9799679487,656333.4375,233796.5625,174357.442908654,1618908,0.54983359153207,0.559288545922521
"Q1 2009",922942,15.0228253026238,5.78232391104603,789578.333333333,133363.666666667,68287.9799679487,669097.0625,253844.9375,174357.442908654,1557232,0.592681116237015,0.559288545922521
"Q2 2009",938147,14.3281410329842,5.78232391104603,809653.5,128493.5,68287.9799679487,682298.84375,255848.15625,174357.442908654,1548488,0.605847123129143,0.559288545922521
"Q3 2009",961070,13.8548000933518,5.78232391104603,830111.083333333,130958.916666667,68287.9799679487,695910.5,265159.5,174357.442908654,1567924,0.612957005569147,0.559288545922521
"Q4 2009",973178,9.32987316459394,5.78232391104603,850186.166666667,122991.833333333,68287.9799679487,709580,263598,174357.442908654,1611692,0.6038238075265,0.559288545922521
"Q1 2010",986935,6.93358845951317,5.78232391104603,870470.083333333,116464.916666667,68287.9799679487,723463.21875,263471.78125,174357.442908654,1644032,0.60031374085176,0.559288545922521
"Q2 2010",1002080,6.81481686771903,5.78232391104603,891188.916666667,110891.083333333,68287.9799679487,737663.6875,264416.3125,174357.442908654,1653240,0.606130991265636,0.559288545922521
"Q3 2010",1017879,5.91101584692062,5.78232391104603,911661.666666667,106217.333333333,68287.9799679487,752088.8125,265790.1875,174357.442908654,1665372,0.611202181854865,0.559288545922521
"Q4 2010",1026271,5.45563093288175,5.78232391104603,932143.666666667,94127.3333333334,68287.9799679487,766537.28125,259733.71875,174357.442908654,1701548,0.603139611694763,0.559288545922521
"Q1 2011",1038324,5.20692852112854,5.78232391104603,951804.083333333,86519.9166666666,68287.9799679487,781147.25,257176.75,174357.442908654,1737952,0.59744112610705,0.559288545922521
"Q2 2011",1046756,4.45832668050455,5.78232391104603,970652.583333333,76103.4166666666,68287.9799679487,795753.8125,251002.1875,174357.442908654,1759852,0.594797744355775,0.559288545922521
"Q3 2011",1072172,5.33393458358017,5.78232391104603,989657,82515,68287.9799679487,810793.0625,261378.9375,174357.442908654,1785748,0.600404984353895,0.559288545922521
"Q4 2011",1092652,6.46817458546524,5.78232391104603,1006533.83333333,86118.1666666666,68287.9799679487,826234.0625,266417.9375,174357.442908654,1812700,0.602775969548188,0.559288545922521
"Q1 2012",1103498,6.27684614821578,5.78232391104603,1021580.16666667,81917.8333333334,68287.9799679487,841676.28125,261821.71875,174357.442908654,1815120,0.607947683899687,0.559288545922521
"Q2 2012",1127164,7.68163736343522,5.78232391104603,1037331.58333333,89832.4166666666,68287.9799679487,857515.59375,269648.40625,174357.442908654,1818984,0.619666803006514,0.559288545922521
"Q3 2012",1140607,6.3828378282589,5.78232391104603,1052293,88314,68287.9799679487,873661.09375,266945.90625,174357.442908654,1830636,0.623065972700198,0.559288545922521
"Q4 2012",1161496,6.30063368757848,5.78232391104603,1067986.16666667,93509.8333333333,68287.9799679487,890097.25,271398.75,174357.442908654,1844064,0.62985666441078,0.559288545922521
"Q1 2013",1190626,7.89561920365963,5.78232391104603,1084960.41666667,105665.583333333,68287.9799679487,907074.09375,283551.90625,174357.442908654,1876844,0.634376645048816,0.559288545922521
"Q2 2013",1200010,6.46276850573652,5.78232391104603,1101454.58333333,98555.4166666667,68287.9799679487,924117.75,275892.25,174357.442908654,1886592,0.636072876382387,0.559288545922521
"Q3 2013",1221481,7.09043518056614,5.78232391104603,1118421.41666667,103059.583333333,68287.9799679487,941696.5625,279784.4375,174357.442908654,1912428,0.638706921254029,0.559288545922521
"Q4 2013",1242496,6.97376486875547,5.78232391104603,1136440.16666667,106055.833333333,68287.9799679487,959521.09375,282974.90625,174357.442908654,1933124,0.642739938048465,0.559288545922521
"Q1 2014",1255288,5.4309245724518,5.78232391104603,1154520.5,100767.5,68287.9799679487,977283.4375,278004.5625,174357.442908654,1963452,0.639327062744595,0.559288545922521
"Q2 2014",1265827,5.48470429413088,5.78232391104603,1172776.41666667,93050.5833333333,68287.9799679487,995051.625,270775.375,174357.442908654,1988404,0.636604533082814,0.559288545922521
"Q3 2014",1289145,5.5395049124792,5.78232391104603,1190857.5,98287.5,68287.9799679487,1012975.5625,276169.4375,174357.442908654,2013792,0.640157970634504,0.559288545922521
"Q4 2014",1301499,4.74874768208509,5.78232391104603,1208261.41666667,93237.5833333333,68287.9799679487,1030763.75,270735.25,174357.442908654,2013944,0.646243887615544,0.559288545922521
"Q1 2015",1317299,4.93998190056784,5.78232391104603,1226078.16666667,91220.8333333333,68287.9799679487,1048694.09375,268604.90625,174357.442908654,1984300,0.6638608073376,0.559288545922521
"Q2 2015",1330127,5.07968308465533,5.78232391104603,1242991.75,87135.25,68287.9799679487,1066715.125,263411.875,174357.442908654,1984920,0.67011617596679,0.559288545922521
"Q3 2015",1366375,5.99079234686556,5.78232391104603,1261805.75,104569.25,68287.9799679487,1085282.90625,281092.09375,174357.442908654,2000864,0.682892490444128,0.559288545922521
"Q4 2015",1379171,5.96788779707092,5.78232391104603,1279945.33333333,99225.6666666667,68287.9799679487,1103991.78125,275179.21875,174357.442908654,1991680,0.692466159222365,0.559288545922521
"Q1 2016",1405746,6.7142691218926,5.78232391104603,1297872,107874,68287.9799679487,1122846.375,282899.625,174357.442908654,1998420,0.703428708679857,0.559288545922521
"Q2 2016",1430563,7.55085792559658,5.78232391104603,1317084.75,113478.25,68287.9799679487,1141908.53125,288654.46875,174357.442908654,2002152,0.714512684351638,0.559288545922521
"Q3 2016",1472422,7.76119293751715,5.78232391104603,1337996.5,134425.5,68287.9799679487,1161543,310879,174357.442908654,2035420,0.723399593204351,0.559288545922521
"Q4 2016",1497003,8.54368312558776,5.78232391104603,1359205.41666667,137797.583333333,68287.9799679487,1180507.78125,316495.21875,174357.442908654,2066148,0.724538126020014,0.559288545922521
"Q1 2017",1521991,8.26927481920631,5.78232391104603,1381430.66666667,140560.333333333,68287.9799679487,1199228.0625,322762.9375,174357.442908654,2107708,0.722107141976023,0.559288545922521
"Q2 2017",1553744,8.61066587070964,5.78232391104603,1405423.75,148320.25,68287.9799679487,1218465.46875,335278.53125,174357.442908654,2130892,0.729151923232149,0.559288545922521
"Q3 2017",1561271,6.03420758451042,5.78232391104603,1428100.91666667,133170.083333333,68287.9799679487,1237221.75,324049.25,174357.442908654,2143864,0.728250952485792,0.559288545922521
"Q4 2017",1583193,5.75750349197697,5.78232391104603,1451575.41666667,131617.583333333,68287.9799679487,1256284.71875,326908.28125,174357.442908654,2181964,0.725581631960931,0.559288545922521
"Q1 2018",1598963,5.05732294080583,5.78232391104603,1475047.41666667,123915.583333333,68287.9799679487,1275410.59375,323552.40625,174357.442908654,2202260,0.726055506615931,0.559288545922521
"Q2 2018",1611721,3.73143838367196,5.78232391104603,1498513.58333333,113207.416666667,68287.9799679487,1294461.875,317259.125,174357.442908654,2219616,0.726126050632181,0.559288545922521
"Q3 2018",1635990,4.78578030335541,5.78232391104603,1520981.5,115008.5,68287.9799679487,1313777.84375,322212.15625,174357.442908654,2244092,0.729020913581083,0.559288545922521
"Q4 2018",1665337,5.18850197038516,5.78232391104603,1544828.66666667,120508.333333333,68287.9799679487,1333748.65625,331588.34375,174357.442908654,2229456,0.746970112888525,0.559288545922521
"Q1 2019",1693147,5.89031766213477,5.78232391104603,1568778.75,124368.25,68287.9799679487,1354211.875,338935.125,174357.442908654,2261964,0.748529596403833,0.559288545922521
"Q2 2019",1725106,7.03502653374871,5.78232391104603,1593324,131782,68287.9799679487,1375410.3125,349695.6875,174357.442908654,2305784,0.748164615592788,0.559288545922521
"Q3 2019",1766063,7.95072097017708,5.78232391104603,1617794.08333333,148268.916666667,68287.9799679487,1397094.40625,368968.59375,174357.442908654,2312064,0.76384693503294,0.559288545922521
"Q4 2019",1794908,7.78046725677746,5.78232391104603,1642619.5,152288.5,68287.9799679487,1419039.90625,375868.09375,174357.442908654,2335700,0.768466840775785,0.559288545922521
