"Period","Public NFCs ST Debt Securities","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Public NFCs ST Debt Securities to GDP","Mean_of_Ratio"
"Q1 1990",30710,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,691928,NA,0.0250540123414798
"Q2 1990",33061,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,695624,NA,0.0250540123414798
"Q3 1990",32730,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,697684,NA,0.0250540123414798
"Q4 1990",32481,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,696768,NA,0.0250540123414798
"Q1 1991",31227,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,694008,NA,0.0250540123414798
"Q2 1991",29936,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,701572,NA,0.0250540123414798
"Q3 1991",29099,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,704796,NA,0.0250540123414798
"Q4 1991",33345,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,706716,NA,0.0250540123414798
"Q1 1992",26379,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,710008,NA,0.0250540123414798
"Q2 1992",28865,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,714744,NA,0.0250540123414798
"Q3 1992",23463,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,721660,NA,0.0250540123414798
"Q4 1992",20145,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,727332,NA,0.0250540123414798
"Q1 1993",16612,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,733952,NA,0.0250540123414798
"Q2 1993",19264,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,745360,NA,0.0250540123414798
"Q3 1993",19046,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,750068,NA,0.0250540123414798
"Q4 1993",13358,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,758768,NA,0.0250540123414798
"Q1 1994",16755,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,772656,NA,0.0250540123414798
"Q2 1994",17190,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,783660,NA,0.0250540123414798
"Q3 1994",17585,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,800784,NA,0.0250540123414798
"Q4 1994",17404,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,810788,NA,0.0250540123414798
"Q1 1995",20156,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,823972,NA,0.0250540123414798
"Q2 1995",19201,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,828856,NA,0.0250540123414798
"Q3 1995",19588,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,832976,NA,0.0250540123414798
"Q4 1995",16060,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,840680,NA,0.0250540123414798
"Q1 1996",17568,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,844208,NA,0.0250540123414798
"Q2 1996",19311,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,852904,NA,0.0250540123414798
"Q3 1996",17927,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,864544,NA,0.0250540123414798
"Q4 1996",19061,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,877680,NA,0.0250540123414798
"Q1 1997",21397,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,891748,NA,0.0250540123414798
"Q2 1997",17102,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,899412,NA,0.0250540123414798
"Q3 1997",17481,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,912564,NA,0.0250540123414798
"Q4 1997",16974,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,923980,NA,0.0250540123414798
"Q1 1998",15996,-25.2418563350002,8.77238435740659,18138.8333333333,-2142.83333333333,2207.90340909091,21742.71875,-5746.71875,5499.89098011364,934612,0.01711512370909,0.0250540123414798
"Q2 1998",16944,-0.923868553385569,8.77238435740659,17950.75,-1006.75,2207.90340909091,21239.0625,-4295.0625,5499.89098011364,935212,0.0181178171366492,0.0250540123414798
"Q3 1998",15834,-9.42165779989703,8.77238435740659,17637.9166666667,-1803.91666666667,2207.90340909091,20711.0625,-4877.0625,5499.89098011364,938872,0.0168649187535681,0.0250540123414798
"Q4 1998",16077,-5.28455284552845,8.77238435740659,17639.3333333333,-1562.33333333333,2207.90340909091,20198.4375,-4121.4375,5499.89098011364,953496,0.0168611090135669,0.0250540123414798
"Q1 1999",21338,33.3958489622406,8.77238435740659,17953.5,3384.5,2207.90340909091,19889.40625,1448.59375,5499.89098011364,975240,0.0218797424223781,0.0250540123414798
"Q2 1999",22517,32.8906987724268,8.77238435740659,18220.6666666667,4296.33333333333,2207.90340909091,19657.5625,2859.4375,5499.89098011364,994172,0.0226489983624564,0.0250540123414798
"Q3 1999",24157,52.5641025641026,8.77238435740659,18739.8333333333,5417.16666666667,2207.90340909091,19503.125,4653.875,5499.89098011364,1021308,0.0236530018368602,0.0250540123414798
"Q4 1999",24342,51.4088449337563,8.77238435740659,19179.9166666667,5162.08333333333,2207.90340909091,19221.78125,5120.21875,5499.89098011364,1040988,0.0233835548536583,0.0250540123414798
"Q1 2000",29715,39.2585996813197,8.77238435740659,19873.0833333333,9841.91666666667,2207.90340909091,19326.03125,10388.96875,5499.89098011364,1070188,0.0277661494989665,0.0250540123414798
"Q2 2000",31941,41.8528223120309,8.77238435740659,21109.6666666667,10831.3333333333,2207.90340909091,19422.15625,12518.84375,5499.89098011364,1099448,0.0290518514745581,0.0250540123414798
"Q3 2000",29422,21.7949248664983,8.77238435740659,22104.75,7317.25,2207.90340909091,19608.375,9813.625,5499.89098011364,1121768,0.0262282397073192,0.0250540123414798
"Q4 2000",33452,37.4250267028182,8.77238435740659,23477.9166666667,9974.08333333333,2207.90340909091,20024.21875,13427.78125,5499.89098011364,1132880,0.0295282819009957,0.0250540123414798
"Q1 2001",31150,4.82921083627797,8.77238435740659,24740.75,6409.25,2207.90340909091,20478.53125,10671.46875,5499.89098011364,1149924,0.0270887467345668,0.0250540123414798
"Q2 2001",30902,-3.25287248364171,8.77238435740659,25903.9166666667,4998.08333333333,2207.90340909091,20842.21875,10059.78125,5499.89098011364,1152860,0.0268046423676769,0.0250540123414798
"Q3 2001",30197,2.63408333899803,8.77238435740659,27100.8333333333,3096.16666666667,2207.90340909091,21190.6875,9006.3125,5499.89098011364,1138804,0.0265164154674553,0.0250540123414798
"Q4 2001",30892,-7.65275618797082,8.77238435740659,28335.4166666667,2556.58333333333,2207.90340909091,21738.625,9153.375,5499.89098011364,1136584,0.0271796893146481,0.0250540123414798
"Q1 2002",31230,0.256821829855538,8.77238435740659,29159.75,2070.25,2207.90340909091,22190.96875,9039.03125,5499.89098011364,1158640,0.0269540150521301,0.0250540123414798
"Q2 2002",34993,13.2386253316937,8.77238435740659,30199.4166666667,4793.58333333333,2207.90340909091,22747.3125,12245.6875,5499.89098011364,1185892,0.0295077460679387,0.0250540123414798
"Q3 2002",36725,21.618041527304,8.77238435740659,31246.75,5478.25,2207.90340909091,23345.4375,13379.5625,5499.89098011364,1204144,0.0304988439920807,0.0250540123414798
"Q4 2002",39153,26.7415512106694,8.77238435740659,32481,6672,2207.90340909091,24025.09375,15127.90625,5499.89098011364,1226100,0.0319329581600196,0.0250540123414798
"Q1 2003",37214,19.1610630803714,8.77238435740659,33105.9166666667,4108.08333333334,2207.90340909091,24558.15625,12655.84375,5499.89098011364,1250088,0.0297691042550604,0.0250540123414798
"Q2 2003",36050,3.02060412082416,8.77238435740659,33448.3333333333,2601.66666666666,2207.90340909091,25084.6875,10965.3125,5499.89098011364,1237720,0.0291261351517306,0.0250540123414798
"Q3 2003",35044,-4.57726344452008,8.77238435740659,33916.8333333333,1127.16666666666,2207.90340909091,25567.6875,9476.3125,5499.89098011364,1258296,0.027850362712748,0.0250540123414798
"Q4 2003",33207,-15.1865757413225,8.77238435740659,33896.4166666667,-689.416666666664,2207.90340909091,26103.53125,7103.46875,5499.89098011364,1272884,0.0260880017346435,0.0250540123414798
"Q1 2004",34120,-8.31407534798732,8.77238435740659,34143.9166666667,-23.9166666666642,2207.90340909091,26620.78125,7499.21875,5499.89098011364,1296216,0.026322773364933,0.0250540123414798
"Q2 2004",28992,-19.5783633841886,8.77238435740659,33984.75,-4992.75,2207.90340909091,26923.3125,2068.6875,5499.89098011364,1328148,0.0218288925631782,0.0250540123414798
"Q3 2004",21541,-38.5315603241639,8.77238435740659,33263.4166666667,-11722.4166666667,2207.90340909091,27036.25,-5495.25,5499.89098011364,1351480,0.0159388226240862,0.0250540123414798
"Q4 2004",18260,-45.0115939410365,8.77238435740659,32210.75,-13950.75,2207.90340909091,27011.21875,-8751.21875,5499.89098011364,1367080,0.0133569359510782,0.0250540123414798
"Q1 2005",17940,-47.4208675263775,8.77238435740659,31103.25,-13163.25,2207.90340909091,26903.1875,-8963.1875,5499.89098011364,1380324,0.0129969485425161,0.0250540123414798
"Q2 2005",21083,-27.2799392935982,8.77238435740659,29944.0833333333,-8861.08333333333,2207.90340909091,27027.59375,-5944.59375,5499.89098011364,1399608,0.0150635034952644,0.0250540123414798
"Q3 2005",30695,42.4957058632375,8.77238435740659,29441.5833333333,1253.41666666667,2207.90340909091,27440.53125,3254.46875,5499.89098011364,1436992,0.0213605921257738,0.0250540123414798
"Q4 2005",34699,90.0273822562979,8.77238435740659,29070.4166666667,5628.58333333333,2207.90340909091,27994.4375,6704.5625,5499.89098011364,1469436,0.0236138219017364,0.0250540123414798
"Q1 2006",41838,133.210702341137,8.77238435740659,29455.75,12382.25,2207.90340909091,28802,13036,5499.89098011364,1476000,0.0283455284552846,0.0250540123414798
"Q2 2006",38673,83.4321491248873,8.77238435740659,29674.3333333333,8998.66666666667,2207.90340909091,29481.03125,9191.96875,5499.89098011364,1490716,0.0259425671958978,0.0250540123414798
"Q3 2006",45884,49.4836292555791,8.77238435740659,30577.6666666667,15306.3333333333,2207.90340909091,30420.09375,15463.90625,5499.89098011364,1504936,0.0304890041835666,0.0250540123414798
"Q4 2006",46113,32.8943197210294,8.77238435740659,31653.1666666667,14459.8333333333,2207.90340909091,31358.71875,14754.28125,5499.89098011364,1514764,0.0304423659395127,0.0250540123414798
"Q1 2007",57772,38.0849945026053,8.77238435740659,33624.1666666667,24147.8333333333,2207.90340909091,32497.28125,25274.71875,5499.89098011364,1547276,0.0373378763711193,0.0250540123414798
"Q2 2007",41397,7.04367388100225,8.77238435740659,34657.9166666667,6739.08333333334,2207.90340909091,33087.28125,8309.71875,5499.89098011364,1576612,0.0262569357584491,0.0250540123414798
"Q3 2007",55833,21.6829395867841,8.77238435740659,37515.5833333333,18317.4166666667,2207.90340909091,34077.15625,21755.84375,5499.89098011364,1582248,0.0352871357713835,0.0250540123414798
"Q4 2007",53275,15.5314119662568,8.77238435740659,40433.5,12841.5,2207.90340909091,34981.3125,18293.6875,5499.89098011364,1604508,0.033203324632847,0.0250540123414798
"Q1 2008",70905,22.7324655542477,8.77238435740659,44847.25,26057.75,2207.90340909091,36268.5,34636.5,5499.89098011364,1637296,0.0433061584466095,0.0250540123414798
"Q2 2008",49579,19.7647172500423,8.77238435740659,47221.9166666667,2357.08333333334,2207.90340909091,36819.6875,12759.3125,5499.89098011364,1677448,0.0295562068093914,0.0250540123414798
"Q3 2008",58089,4.04062113803665,8.77238435740659,49504.75,8584.25,2207.90340909091,37715.53125,20373.46875,5499.89098011364,1694512,0.0342806660560681,0.0250540123414798
"Q4 2008",63478,19.1515720319099,8.77238435740659,51903,11575,2207.90340909091,38653.84375,24824.15625,5499.89098011364,1618908,0.0392103813187655,0.0250540123414798
"Q1 2009",34282,-51.6508003666878,8.77238435740659,51273.3333333333,-16991.3333333333,2207.90340909091,38751.71875,-4469.71875,5499.89098011364,1557232,0.0220147030114973,0.0250540123414798
"Q2 2009",32400,-34.6497509025999,8.77238435740659,50750.5833333333,-18350.5833333333,2207.90340909091,38798.53125,-6398.53125,5499.89098011364,1548488,0.0209236364763563,0.0250540123414798
"Q3 2009",45759,-21.2260496823839,8.77238435740659,50740.1666666667,-4981.16666666666,2207.90340909091,39284.84375,6474.15625,5499.89098011364,1567924,0.0291844502667221,0.0250540123414798
"Q4 2009",39133,-38.3518699391915,8.77238435740659,50158.5,-11025.5,2207.90340909091,39542.375,-409.375,5499.89098011364,1611692,0.0242806938298385,0.0250540123414798
"Q1 2010",42363,23.5721369815063,8.77238435740659,48874.4166666667,-6511.41666666666,2207.90340909091,39890.28125,2472.71875,5499.89098011364,1644032,0.0257677466132046,0.0250540123414798
"Q2 2010",45393,40.1018518518519,8.77238435740659,49207.4166666667,-3814.41666666666,2207.90340909091,40215.28125,5177.71875,5499.89098011364,1653240,0.0274569935399579,0.0250540123414798
"Q3 2010",46366,1.32651500251317,8.77238435740659,48418.5,-2052.5,2207.90340909091,40516.5625,5849.4375,5499.89098011364,1665372,0.0278412270651842,0.0250540123414798
"Q4 2010",49382,26.1901719776148,8.77238435740659,48094.0833333333,1287.91666666666,2207.90340909091,40836.21875,8545.78125,5499.89098011364,1701548,0.0290218083768427,0.0250540123414798
"Q1 2011",42637,0.646790831621934,8.77238435740659,45738.4166666667,-3101.41666666666,2207.90340909091,41005.6875,1631.3125,5499.89098011364,1737952,0.0245328984920182,0.0250540123414798
"Q2 2011",41362,-8.88022382305642,8.77238435740659,45053.6666666667,-3691.66666666666,2207.90340909091,41171.6875,190.3125,5499.89098011364,1759852,0.023503112761755,0.0250540123414798
"Q3 2011",43965,-5.17836345598068,8.77238435740659,43876.6666666667,88.3333333333358,2207.90340909091,41450.46875,2514.53125,5499.89098011364,1785748,0.0246199351756239,0.0250540123414798
"Q4 2011",41120,-16.7307925964926,8.77238435740659,42013.5,-893.5,2207.90340909091,41697.75,-577.75,5499.89098011364,1812700,0.0226843934462404,0.0250540123414798
"Q1 2012",43149,1.20083495555503,8.77238435740659,42752.4166666667,396.583333333336,2207.90340909091,41979.90625,1169.09375,5499.89098011364,1815120,0.0237719820177178,0.0250540123414798
"Q2 2012",40796,-1.36840578308592,8.77238435740659,43452.0833333333,-2656.08333333334,2207.90340909091,42348.78125,-1552.78125,5499.89098011364,1818984,0.0224279048083985,0.0250540123414798
"Q3 2012",40929,-6.90549300580007,8.77238435740659,43049.5833333333,-2120.58333333334,2207.90340909091,42954.65625,-2025.65625,5499.89098011364,1830636,0.0223578035174661,0.0250540123414798
"Q4 2012",39775,-3.27091439688716,8.77238435740659,43103.0833333333,-3328.08333333334,2207.90340909091,43627,-3852,5499.89098011364,1844064,0.0215692080101341,0.0250540123414798
"Q1 2013",41122,-4.69767549653526,8.77238435740659,42999.6666666667,-1877.66666666666,2207.90340909091,44351.4375,-3229.4375,5499.89098011364,1876844,0.0219101853963355,0.0250540123414798
"Q2 2013",42141,3.29689185214237,8.77238435740659,42728.6666666667,-587.666666666664,2207.90340909091,45009.5,-2868.5,5499.89098011364,1886592,0.0223371030938327,0.0250540123414798
"Q3 2013",43047,5.17481492340394,8.77238435740659,42452.0833333333,594.916666666664,2207.90340909091,45395.5,-2348.5,5499.89098011364,1912428,0.0225090826948779,0.0250540123414798
"Q4 2013",42680,7.30358265241986,8.77238435740659,41893.5833333333,786.416666666664,2207.90340909091,45644.90625,-2964.90625,5499.89098011364,1933124,0.0220782526107999,0.0250540123414798
"Q1 2014",43092,4.79062302417198,8.77238435740659,41931.5,1160.5,2207.90340909091,45684.09375,-2592.09375,5499.89098011364,1963452,0.0219470605851327,0.0250540123414798
"Q2 2014",44260,5.02835718184191,8.77238435740659,42173,2087,2207.90340909091,45858.6875,-1598.6875,5499.89098011364,1988404,0.0222590580183906,0.0250540123414798
"Q3 2014",44357,3.04318535554162,8.77238435740659,42205.6666666667,2151.33333333334,2207.90340909091,45810.96875,-1453.96875,5499.89098011364,2013792,0.0220266045351258,0.0250540123414798
"Q4 2014",44119,3.37160262417994,8.77238435740659,42455.5833333333,1663.41666666666,2207.90340909091,45748.65625,-1629.65625,5499.89098011364,2013944,0.021906766027258,0.0250540123414798
"Q1 2015",44002,2.11176088369071,8.77238435740659,42526.6666666667,1475.33333333334,2207.90340909091,45318.34375,-1316.34375,5499.89098011364,1984300,0.0221750743335181,0.0250540123414798
"Q2 2015",49658,12.1961138725712,8.77238435740659,43265.1666666667,6392.83333333334,2207.90340909091,45576.5,4081.5,5499.89098011364,1984920,0.0250176329524616,0.0250540123414798
"Q3 2015",50940,14.8409495682756,8.77238435740659,44099.4166666667,6840.58333333334,2207.90340909091,45423.59375,5516.40625,5499.89098011364,2000864,0.0254590017112607,0.0250540123414798
"Q4 2015",48900,10.8366010109023,8.77238435740659,44859.8333333333,4040.16666666666,2207.90340909091,45286.875,3613.125,5499.89098011364,1991680,0.0245521368894602,0.0250540123414798
"Q1 2016",51316,16.6219717285578,8.77238435740659,45709.3333333333,5606.66666666666,2207.90340909091,44674.71875,6641.28125,5499.89098011364,1998420,0.0256782858458182,0.0250540123414798
"Q2 2016",54716,10.1856699826815,8.77238435740659,46757.25,7958.75,2207.90340909091,44835.25,9880.75,5499.89098011364,2002152,0.0273285944323907,0.0250540123414798
"Q3 2016",53568,5.15901060070671,8.77238435740659,47634,5934,2207.90340909091,44693.96875,8874.03125,5499.89098011364,2035420,0.0263179098171385,0.0250540123414798
"Q4 2016",50843,3.97341513292434,8.77238435740659,48314.25,2528.75,2207.90340909091,44299.125,6543.875,5499.89098011364,2066148,0.0246076273335695,0.0250540123414798
"Q1 2017",47627,-7.18879102034453,8.77238435740659,48692.1666666667,-1065.16666666666,2207.90340909091,44716.15625,2910.84375,5499.89098011364,2107708,0.0225965835874799,0.0250540123414798
"Q2 2017",49708,-9.1527158418013,8.77238435740659,49146.1666666667,561.833333333336,2207.90340909091,45257.03125,4450.96875,5499.89098011364,2130892,0.0233273202020562,0.0250540123414798
"Q3 2017",54272,1.3142174432497,8.77238435740659,49972.4166666667,4299.58333333334,2207.90340909091,45523.0625,8748.9375,5499.89098011364,2143864,0.0253150386405108,0.0250540123414798
"Q4 2017",47604,-6.37059182188305,8.77238435740659,50262.8333333333,-2658.83333333334,2207.90340909091,45787.78125,1816.21875,5499.89098011364,2181964,0.0218170418943667,0.0250540123414798
"Q1 2018",44655,-6.24015789363176,8.77238435740659,50317.25,-5662.25,2207.90340909091,45859.40625,-1204.40625,5499.89098011364,2202260,0.0202768973690663,0.0250540123414798
"Q2 2018",46916,-5.61680212440653,8.77238435740659,50088.75,-3172.75,2207.90340909091,45907,1009,5499.89098011364,2219616,0.0211369894612401,0.0250540123414798
"Q3 2018",48343,-10.924602004717,8.77238435740659,49872.3333333333,-1529.33333333334,2207.90340909091,45968.78125,2374.21875,5499.89098011364,2244092,0.021542343183791,0.0250540123414798
"Q4 2018",52356,9.98235442399798,8.77238435740659,50160.3333333333,2195.66666666666,2207.90340909091,46061.71875,6294.28125,5499.89098011364,2229456,0.0234837556785153,0.0250540123414798
"Q1 2019",53840,20.5688052849625,8.77238435740659,50370.6666666667,3469.33333333334,2207.90340909091,46411.8125,7428.1875,5499.89098011364,2260360,0.0238192146383762,0.0250540123414798
"Q2 2019",59257,26.3044590331657,8.77238435740659,50749.0833333333,8507.91666666666,2207.90340909091,46971.03125,12285.96875,5499.89098011364,2305088,0.0257070445900547,0.0250540123414798
"Q3 2019",58037,20.0525412158948,8.77238435740659,51121.5,6915.5,2207.90340909091,47410.78125,10626.21875,5499.89098011364,2312284,0.0250994255030956,0.0250540123414798
"Q4 2019",56120,7.18924287569715,8.77238435740659,51561.25,4558.75,2207.90340909091,47879.53125,8240.46875,5499.89098011364,2337684,0.0240066664271133,0.0250540123414798
